    310     1890 1311.2000 4.748 0.000 102.919 23.509
    311        0 1312.1900 4.754 0.000 102.278 29.277
    312      372 1312.5400 4.709 -3000.000 102.331 29.179
    313     1946 1316.4000 4.743 0.000 102.844 23.304
    314     1275 1316.5600 4.716 -3000.000 103.268 25.860
    315     1911 1316.7600 5.178 0.000 102.891 23.432
    316     1995 1317.0300 5.006 0.000 102.283 27.840
    317     1295 1317.2400 4.750 0.000 103.263 25.779
    318     1990 1319.1800 4.972 -6000.000 102.271 27.864
    319     2227 1319.6000 4.713 -3000.000 102.744 27.048
    320     1932 1319.8800 4.746 0.000 102.862 23.355
    321     1942 1320.2200 4.714 -9000.000 102.853 23.329
    322      995 1321.1400 4.711 -3000.000 102.863 26.873
    323       42 1321.2100 5.247 0.000 102.268 29.115
    324     2226 1321.5700 5.003 0.000 102.744 27.048
    325       31 1321.8600 4.720 -9000.000 102.272 29.169
    326      315 1322.2500 5.008 0.000 102.209 28.064
    327     1268 1322.2500 4.717 -3000.000 103.256 25.885
    328     1253 1322.4900 4.742 0.000 103.233 25.935
    329        9 1326.4700 5.338 -6000.000 102.276 29.250
    330     1267 1326.5800 5.006 0.000 103.256 25.885
    331     1876 1328.0900 4.748 0.000 102.938 23.560
    332      350 1328.3500 4.750 0.000 102.291 29.253
    333     2009 1328.9300 4.747 0.000 102.309 27.791
    334     1890 1329.8100 4.748 0.000 102.919 23.509
    335     1855 1329.9600 4.746 0.000 102.966 23.637
    336     1001 1330.1700 4.745 0.000 102.878 26.850
    337     1925 1330.7400 4.745 0.000 102.872 23.381
    338     1827 1331.1600 4.748 0.000 103.004 23.740
    339     1996 1331.2600 4.705 -3000.000 102.283 27.840
    340      105 1331.3500 5.007 0.000 102.252 28.872
    341     1806 1332.9500 4.746 0.000 103.032 23.817
    342      310 1332.9500 4.721 -6000.000 102.204 28.090
    343     1934 1333.6200 5.249 -6000.000 102.862 23.355
    344     2219 1334.3200 5.431 0.000 102.728 27.071
    345       63 1334.6700 5.293 0.000 102.264 29.034
    346     1911 1335.2700 5.855 0.000 102.891 23.432
    347     1778 1335.6300 5.273 0.000 103.070 23.919
    348       28 1335.8000 4.754 0.000 102.272 29.169
    349        1 1336.1700 4.721 -3000.000 102.278 29.277
    350       38 1336.2200 4.970 -9000.000 102.270 29.142
    351     1869 1336.3100 4.746 0.000 102.947 23.586
    352     1981 1337.3800 4.747 0.000 102.258 27.889
    353       57 1337.7000 4.704 -3000.000 102.265 29.061
    354      316 1338.4000 4.960 -3000.000 102.209 28.064
    355     1275 1338.7500 4.716 -3000.000 103.268 25.860
    356     1995 1338.8800 5.005 0.000 102.283 27.840
    357      280 1339.2600 5.280 0.000 102.196 28.198
    358     2228 1340.6100 4.712 -6000.000 102.744 27.048
    359      994 1342.5500 4.744 0.000 102.863 26.873
    360      315 1342.8100 5.349 0.000 102.209 28.064
    361       17 1344.8600 4.720 -9000.000 102.275 29.223
    362     1988 1345.7000 4.750 0.000 102.271 27.864
    363     1267 1345.8100 5.615 0.000 103.256 25.885
    364     1918 1346.6200 5.611 0.000 102.881 23.406
    365     1792 1348.2400 4.746 0.000 103.051 23.868
    366        0 1348.5500 4.754 0.000 102.278 29.277
    367     1932 1350.1000 4.746 0.000 102.862 23.355
    368     1771 1350.6700 4.750 0.000 103.076 23.946
    369     1933 1352.0700 5.612 -3000.000 102.862 23.355
    370     1260 1352.6800 4.980 0.000 103.245 25.910
    371       25 1352.8900 6.649 -12000.000 102.273 29.196
    372     1295 1355.9100 6.368 0.000 103.263 25.779
    373     1995 1355.9600 5.178 0.000 102.283 27.840
    374     1414 1356.3600 6.356 0.000 103.226 25.320
    375     1925 1357.1300 5.181 0.000 102.872 23.381
    376      995 1357.4300 5.148 -3000.000 102.863 26.873
    377     1295 1358.0100 4.750 0.000 103.263 25.779
    378     1955 1358.2700 4.715 -6000.000 102.834 23.278
    379     2233 1359.5200 4.747 0.000 102.759 27.025
    380       32 1359.5800 5.865 -12000.000 102.272 29.169
    381     1155 1360.7700 5.439 0.000 103.093 26.291
    382     1204 1361.1600 4.750 0.000 103.149 26.108
    383     2030 1362.3700 4.750 0.000 102.348 27.717
    384     1778 1363.2500 4.746 0.000 103.070 23.919
    385     1855 1363.4600 4.746 0.000 102.966 23.637
    386        3 1363.7200 4.720 -9000.000 102.278 29.277
    387     1813 1364.1600 5.003 0.000 103.023 23.791
    388       64 1364.4800 4.721 -3000.000 102.264 29.034
    389      315 1365.8100 4.746 0.000 102.209 28.064
    390     1268 1366.2700 4.717 -3000.000 103.256 25.885
    391       43 1366.5700 4.720 -3000.000 102.268 29.115
    392     1183 1367.4300 4.998 0.000 103.124 26.186
    393     1939 1367.5400 5.250 0.000 102.853 23.329
    394     1274 1367.7400 5.352 0.000 103.268 25.860
    395        9 1368.3500 4.703 -6000.000 102.276 29.250
    396     1540 1369.8600 4.749 0.000 103.165 24.836
    397     1827 1370.0400 4.748 0.000 103.004 23.740
    398     1890 1370.8700 4.748 0.000 102.919 23.509
    399     2009 1370.8900 4.747 0.000 102.309 27.791
    400     1582 1373.2800 4.749 0.000 103.145 24.674
    401       70 1373.7400 4.754 0.000 102.262 29.007
    402     1996 1373.9800 5.608 -3000.000 102.283 27.840
    403     2128 1374.3300 4.980 0.000 102.527 27.373
    404      372 1375.0100 4.709 -3000.000 102.331 29.179
    405     1268 1377.2900 4.717 -3000.000 103.256 25.885
    406     2100 1378.1700 4.748 0.000 102.476 27.471
    407     1934 1378.2800 4.968 -6000.000 102.862 23.355
    408     1936 1378.5700 4.712 -12000.000 102.862 23.355
    409     1947 1378.9600 4.701 -3000.000 102.844 23.304
    410     1918 1379.8000 5.496 0.000 102.881 23.406
    411     1997 1379.9400 4.705 -6000.000 102.283 27.840
    412     2065 1380.0400 4.748 0.000 102.412 27.594
    413     1666 1380.4900 4.749 0.000 103.120 24.350
    414     1288 1380.7100 4.750 0.000 103.265 25.806
    415     1757 1380.8600 5.273 0.000 103.082 24.000
    416     1792 1382.4400 4.746 0.000 103.051 23.868
    417     1274 1382.5200 5.006 0.000 103.268 25.860
    418     1743 1383.2200 4.749 0.000 103.088 24.053
    419     1943 1384.1700 4.714 -12000.000 102.853 23.329
    420     2226 1384.4600 5.004 0.000 102.744 27.048
    421     1729 1385.6100 4.749 0.000 103.094 24.107
    422     1239 1386.3500 4.750 0.000 103.209 25.984
    423     1533 1386.7300 4.744 0.000 103.169 24.863
    424     1260 1387.7500 4.742 0.000 103.245 25.910
    425     1680 1387.9900 5.005 0.000 103.114 24.296
    426     1295 1388.4800 4.750 0.000 103.263 25.779
    427     1813 1389.0700 4.748 0.000 103.023 23.791
    428       35 1389.2300 4.746 0.000 102.270 29.142
    429     1547 1389.3600 5.005 0.000 103.162 24.809
    430      995 1389.4900 4.711 -3000.000 102.863 26.873
