t,Magnitude,Latitude,Longitude,Depth,dt
1359.58,5.865,29.169,102.272,-12000.0,1.1900000000000546
1360.77,5.439,26.291,103.093,0.0,0.39000000000010004
1361.16,4.75,26.108,103.149,0.0,1.209999999999809
1362.37,4.75,27.717,102.348,0.0,0.8800000000001091
1363.25,4.746,23.919,103.07,0.0,0.21000000000003638
1363.46,4.746,23.637,102.966,0.0,0.2599999999999909
1363.72,4.72,29.277,102.278,-9000.0,0.44000000000005457
1364.16,5.003,23.791,103.023,0.0,0.31999999999993634
1364.48,4.721,29.034,102.264,-3000.0,1.3299999999999272
1365.81,4.746,28.064,102.209,0.0,0.4600000000000364
1366.27,4.717,25.885,103.256,-3000.0,0.2999999999999545
1366.57,4.72,29.115,102.268,-3000.0,0.8600000000001273
1367.43,4.998,26.186,103.124,0.0,0.10999999999989996
1367.54,5.25,23.329,102.853,0.0,0.20000000000004547
1367.74,5.352,25.86,103.268,0.0,0.6099999999999
1368.35,4.703,29.25,102.276,-6000.0,1.509999999999991
1369.86,4.749,24.836,103.165,0.0,0.18000000000006366
1370.04,4.748,23.74,103.004,0.0,0.8299999999999272
1370.87,4.748,23.509,102.919,0.0,0.020000000000209184
1370.89,4.747,27.791,102.309,0.0,2.3899999999998727
1373.28,4.749,24.674,103.145,0.0,0.4600000000000364
1373.74,4.754,29.007,102.262,0.0,0.2400000000000091
1373.98,5.608,27.84,102.283,-3000.0,0.34999999999990905
1374.33,4.98,27.373,102.527,0.0,0.6800000000000637
1375.01,4.709,29.179,102.331,-3000.0,2.2799999999999727
1377.29,4.717,25.885,103.256,-3000.0,0.8800000000001091
1378.17,4.748,27.471,102.476,0.0,0.10999999999989996
1378.28,4.968,23.355,102.862,-6000.0,0.2899999999999636
1378.57,4.712,23.355,102.862,-12000.0,0.39000000000010004
1378.96,4.701,23.304,102.844,-3000.0,0.8399999999999181
1379.8,5.496,23.406,102.881,0.0,0.14000000000010004
1379.94,4.705,27.84,102.283,-6000.0,0.09999999999990905
1380.04,4.748,27.594,102.412,0.0,0.4500000000000455
1380.49,4.749,24.35,103.12,0.0,0.22000000000002728
1380.71,4.75,25.806,103.265,0.0,0.14999999999986358
1380.86,5.273,24.0,103.082,0.0,1.5800000000001546
1382.44,4.746,23.868,103.051,0.0,0.07999999999992724
1382.52,5.006,25.86,103.268,0.0,0.7000000000000455
1383.22,4.749,24.053,103.088,0.0,0.9500000000000455
1384.17,4.714,23.329,102.853,-12000.0,0.2899999999999636
1384.46,5.004,27.048,102.744,0.0,1.1499999999998636
1385.61,4.749,24.107,103.094,0.0,0.7400000000000091
1386.35,4.75,25.984,103.209,0.0,0.38000000000010914
1386.73,4.744,24.863,103.169,0.0,1.0199999999999818
1387.75,4.742,25.91,103.245,0.0,0.2400000000000091
1387.99,5.005,24.296,103.114,0.0,0.4900000000000091
1388.48,4.75,25.779,103.263,0.0,0.5899999999999181
1389.07,4.748,23.791,103.023,0.0,0.16000000000008185
1389.23,4.746,29.142,102.27,0.0,0.12999999999988177
1389.36,5.005,24.809,103.162,0.0,0.13000000000010914
1389.49,4.711,26.873,102.863,-3000.0,0.40000000000009095
1389.89,5.72,23.329,102.853,0.0,0.2199999999997999
1390.11,5.262,23.355,102.862,-3000.0,0.6300000000001091
1390.74,4.747,27.14,102.68,0.0,2.0599999999999454
1392.8,4.745,26.85,102.878,0.0,0.6400000000001
1393.44,4.713,23.355,102.862,-3000.0,0.029999999999972715
1393.47,5.18,23.534,102.929,0.0,0.37999999999988177
1393.85,4.976,29.115,102.268,-6000.0,0.16000000000008185
1394.01,4.747,26.186,103.124,0.0,0.32999999999992724
1394.34,4.715,23.278,102.834,-6000.0,0.10000000000013642
1394.44,4.75,25.752,103.261,0.0,0.08999999999991815
1394.53,4.747,27.742,102.335,0.0,0.21000000000003638
1394.74,4.743,23.534,102.929,0.0,0.9400000000000546
1395.68,4.976,29.223,102.275,-9000.0,0.1799999999998363
1395.86,4.993,27.864,102.271,-3000.0,1.0700000000001637
1396.93,4.712,23.355,102.862,-9000.0,0.7799999999999727
1397.71,4.748,23.278,102.834,0.0,0.9600000000000364
1398.67,4.743,29.155,102.344,0.0,0.25
1398.92,5.272,26.084,103.161,0.0,0.6399999999998727
1399.56,5.608,25.833,103.267,0.0,0.20000000000004547
1399.76,5.151,23.329,102.853,-9000.0,0.6900000000000546
1400.45,4.743,23.483,102.91,0.0,0.2300000000000182
1400.68,4.746,23.637,102.966,0.0,0.37999999999988177
1401.06,4.747,27.117,102.696,0.0,0.4600000000000364
1401.52,4.749,24.188,103.102,0.0,0.6600000000000819
1402.18,4.745,23.381,102.872,0.0,0.4500000000000455
1402.63,4.753,29.115,102.268,0.0,0.5199999999999818
1403.15,4.745,26.291,103.093,0.0,0.9099999999998545
1404.06,4.72,29.277,102.278,-15000.0,0.15000000000009095
1404.21,5.006,24.755,103.155,0.0,0.09999999999990905
1404.31,4.712,23.355,102.862,-12000.0,0.19000000000005457
